address,building_count,company,house,house_count,name,price,type,url,year
(湖里江头)嘉禾路312号,4栋,厦门福隆置业集团有限公司,,986户,福隆国际,,塔楼/板楼/塔板结合,https://xm.lianjia.com/xiaoqu/3911053698686/,1998年建成 
"(湖里祥店)祥店里3号, 祥店里5-3号, 祥店里5之3号",10栋, 厦门市南成开发商,,1372户,第二城幸福生活,,板楼,https://xm.lianjia.com/xiaoqu/3911058684097/,1999年建成 
(湖里大唐世家)兴隆路606号之1-12,5栋,宝龙集团洛阳宝龙置业发展有限公司,,220户,源益小区,,板楼,https://xm.lianjia.com/xiaoqu/3914261084786639/,1993年建成 
"(湖里枋湖)枋湖东二里34到38号, 枋湖东二里37号, 金湖路87-103号",4栋,厦门市住宅建设总公司,,259户,水晶APPLE,,板楼,https://xm.lianjia.com/xiaoqu/3911057449198/,2012年建成 
(湖里枋湖)枋湖东二里21到32号,3栋,厦门海投房地产有限公司 ,,404户,大洋雅苑,,板楼,https://xm.lianjia.com/xiaoqu/3911057423271/,2005年建成 
(湖里枋湖)枋湖北路263到277号,2栋,厦门庐山实业发展有限公司,,203户,金色阳光,,板楼,https://xm.lianjia.com/xiaoqu/399665270787166/,2014年建成 
(湖里枋湖)枋湖东二里1到18号,7栋,厦门嘉盛建设有限公司,,923户,碧湖嘉园,,板楼,https://xm.lianjia.com/xiaoqu/3911057415286/,2007年建成 
(湖里保税区)华昌路137-175号,15栋,厦门古龙温泉山庄开发有限公司,,1733户,古龙公寓,,板楼/塔板结合,https://xm.lianjia.com/xiaoqu/3911058001822/,2005年建成 
"(湖里大唐世家)园山北路45-49, 园山北路55",10栋,厦门源益电力股份有限公司,,457户,樱花山庄,,板楼,https://xm.lianjia.com/xiaoqu/3910904377502939/,1997年建成 
(湖里南山路)南山路405到433号,11栋,"厦门禹洲集团股份有限公司,",,1012户,禹洲新村一，二期,,板楼,https://xm.lianjia.com/xiaoqu/3911057396576/,1996年建成 
(湖里湖里大道)华荣路74到80号,5栋,厦门联发（集团）房地产公司,,720户,欣华花园,,板楼,https://xm.lianjia.com/xiaoqu/3911057403504/,1990年建成 
(湖里金尚)凤山路514到520号,73栋,厦门嘉盛建设有限公司,,3472户,金尚小区,,塔楼/板楼,https://xm.lianjia.com/xiaoqu/3911057707446/,1996年建成 
"(湖里枋湖)枋湖南路185号, 枋湖南路169-109号, 枋湖南路169-111号, 枋湖南路169号",9栋,厦门永建房地产开发有限公司,,2806户,永建顶尚,,塔楼/板楼/塔板结合,https://xm.lianjia.com/xiaoqu/3911100503845/,2012年建成 
(湖里金尚)吕岭路191到197号,9栋,厦门大洋集团有限公司,,591户,泰和花园,,板楼,https://xm.lianjia.com/xiaoqu/3911057418508/,1997年建成 
"(湖里祥店)仙岳路1933, 祥店二路17号, 祥店二路55号",4栋,厦门诚毅地产投资管理有限公司 ,,634户,第二城快乐天地,,塔楼/板楼,https://xm.lianjia.com/xiaoqu/3911058684989/,2003年建成 
"(湖里五缘湾)穆厝路9号, 穆厝路1号",3栋,厦门大唐房地产有限公司,,1797户,大唐五缘yoho,,塔楼,https://xm.lianjia.com/xiaoqu/3911099550456/,2015年建成 
(湖里湖边水库)观日西二里40号,11栋,福建世茂置业有限公司,,1456户,世茂湖滨首府D区,,板楼/塔板结合,https://xm.lianjia.com/xiaoqu/3911099686373/,2009年建成 
(湖里殿前)长浩路一里43到49号,94栋,翔鹭（厦门）房地产开发有限公司,,2626户,翔鹭花城一，二期,,塔楼/板楼/塔板结合,https://xm.lianjia.com/xiaoqu/3911057791497/,2004年建成 
"(湖里五缘湾)五缘南里33到40号, 五缘南里67号",8栋,厦门国贸房地产有限公司,,536户,国贸天琴湾一期,,板楼,https://xm.lianjia.com/xiaoqu/3911057750549/,2012年建成 
(湖里江头)嘉禾路328到332号,4栋,厦门冠宏房地产开发有限公司,,857户,冠宏花园,,塔楼/板楼/塔板结合,https://xm.lianjia.com/xiaoqu/3911053702508/,2002年建成 
"(湖里枋湖)金湖二里禹洲城上城, 金湖二里92号, 金湖二里78号, 金湖二里68-71号, 金湖路114-106号",12栋,"厦门禹洲集团股份有限公司,",,1092户,禹洲城上城,,塔楼/板楼/塔板结合,https://xm.lianjia.com/xiaoqu/3911055610781/,2003年建成 
(湖里枋湖)金湖一里1到25号,8栋,厦门联发（集团）房地产公司,,963户,联发欣悦园,,塔楼/板楼/塔板结合,https://xm.lianjia.com/xiaoqu/3911055602631/,2007年建成 
(湖里枋湖)金湖二里1到19号,7栋,厦门市湖里房地产综合开发公司,,776户,东晖广场,,塔楼/板楼/塔板结合,https://xm.lianjia.com/xiaoqu/3911055542558/,2010年建成 
"(湖里祥店)祥店路135号, 祥岭路124号, 祥店里103-108号",11栋,厦门国贸物业管理有限公司,,1174户,国贸阳光,,塔楼/板楼/塔板结合/平房,https://xm.lianjia.com/xiaoqu/3911058685516/,2006年建成 
(湖里SM)薛岭北里91-100号,4栋, 重庆桥达茂宸房地产开发有限公司,,57户,江头苑,,塔板结合,https://xm.lianjia.com/xiaoqu/3920028024040698/,1996年建成 
"(湖里万达广场)仙岳路4666号, 金钟路7号, 仙岳路4674号, 金钟路15号",10栋,厦门湖里万达广场投资有限公司,,4009户,万达广场,,塔楼/板楼/塔板结合,https://xm.lianjia.com/xiaoqu/3911099552630/,2000年建成 
"(湖里枋湖)金湖二里44到46号, 金湖二里65号",12栋,厦门市华林建设发展有限公司,,1019户,凯悦新城,,塔楼/板楼,https://xm.lianjia.com/xiaoqu/3911055598032/,2009年建成 
"(湖里金山)金山西里11到133号, 金山西里44-4-101号, 金山西里44-47号",28栋,厦门住宅建设集团有限公司,,1677户,金山小区,,塔楼/板楼,https://xm.lianjia.com/xiaoqu/3911062119301/,2000年建成 
"(湖里金山)金山西里, 金山西里161-165号, 金山西里181-182号, 金山西里166-170号, 金山西路265-101号",13栋,华联厦门房地产开发中心,,570户,金鹭花园,,板楼,https://xm.lianjia.com/xiaoqu/3911055550582/,1990年建成 
(湖里五缘湾)五缘西三里50到150号,9栋,厦门市源昌房地产开发有限公司,,2108户,源昌鑫海湾湖里,,板楼/塔板结合,https://xm.lianjia.com/xiaoqu/3911099531404/,2007年建成 
"(湖里机场区)枋钟路244到248号, 枋钟路246号",4栋,厦门泰地置业有限公司,,300户,艾德花园二期,,板楼,https://xm.lianjia.com/xiaoqu/3911057727613/,2002年建成 
(湖里江头)嘉禾路334-380号,23栋,厦门福隆置业集团有限公司,,1544户,东方巴黎广场,,塔楼/板楼,https://xm.lianjia.com/xiaoqu/3911053696452/,1988年建成 
(湖里湖边水库)观日西二里1到20号,15栋,福建世茂置业有限公司,,1200户,世茂湖滨首府B区,,板楼/塔板结合,https://xm.lianjia.com/xiaoqu/3911100137178/,2012年建成 
(湖里江头)江浦北里,7栋,厦门农正房地产有限公司,,336户,江浦北里,,板楼,https://xm.lianjia.com/xiaoqu/3911055104182/,1994年建成 
(湖里金山)金山西路171号,50栋,厦门国源房地产开发有限公司,,317户,国际山庄,,板楼,https://xm.lianjia.com/xiaoqu/397347420279185/,1955年建成 
"(湖里SM)百果山麓142号, 兴山路84-98号",19栋,厦门联发（集团）房地产公司,,817户,裕发花园,,塔楼/板楼,https://xm.lianjia.com/xiaoqu/3911053754838/,2002年建成 
(湖里东渡)海山路,17栋, 合肥万科瑞翔地产有限公司,,403户,海山路,,板楼,https://xm.lianjia.com/xiaoqu/3916186021522512/,1986年建成 
(湖里邮轮城)东港北路1到27号,2栋,厦门港务地产有限公司,,672户,国际邮轮城二期,,板楼,https://xm.lianjia.com/xiaoqu/3911056365712/,2011年建成 
"(湖里金山)金山西二里43到62号, 金山西路21, 金山西路21-101, 金山西二里58-62号",14栋,厦门世侨投资管理有限公司,,559户,宏山新村,,板楼,https://xm.lianjia.com/xiaoqu/3911055545093/,1996年建成 
(湖里机场区)枋钟路334到362号,8栋,厦门金环置业有限公司,,279户,艾德花园一期,,塔楼/板楼,https://xm.lianjia.com/xiaoqu/3911057725985/,2000年建成 
(湖里五缘湾)五缘西三里40号,14栋,厦门市源昌房地产开发有限公司,,554户,源昌宝墅湾,,板楼,https://xm.lianjia.com/xiaoqu/3911057572307/,2013年建成 
(湖里江头)江头东路2到14号,4栋,无开发商,,565户,中环花园,,塔楼/板楼,https://xm.lianjia.com/xiaoqu/3911055137465/,2000年建成 
(湖里五缘湾)日圆二里2-3号,3栋,厦门建发集团有限公司,,1177户,建发中央湾区soho,,塔楼/板楼/塔板结合,https://xm.lianjia.com/xiaoqu/3913577272438421/,2013年建成 
"(湖里枋湖)枋湖东一里1号到27号, 金湖路97-128-1号, 枋湖东一里28号",11栋,厦门建发集团有限公司,,1000户,书香佳缘,,板楼,https://xm.lianjia.com/xiaoqu/3911099678196/,2007年建成 
(湖里南山路)南山路342-344号,38栋,厦门经济特区房地产开发集团有限公司,,837户,康乐新村一期东区,,塔楼/板楼/塔板结合,https://xm.lianjia.com/xiaoqu/398305226035913/,1994年建成 
"(湖里大唐世家)莲兴路1-11号, 兴隆路510-516号, 兴隆路500到580号",11栋,厦门大唐房地产有限公司,,675户,大唐世家一期,,塔楼/板楼,https://xm.lianjia.com/xiaoqu/3911058012462/,1996年建成 
(湖里金尚)双浦东里1到30号,5栋,厦门新景地集团有限公司,,562户,新景华府一期,,板楼,https://xm.lianjia.com/xiaoqu/3911100718491/,2000年建成 
"(湖里枋湖)金尚路, 金尚路1628号, 金尚路1630号",3栋,厦门市宏伟建筑集团房地产开发有限公司临漳分公司,,114户,宏伟大厦,,板楼,https://xm.lianjia.com/xiaoqu/3910203347038686/,1995年建成 
(湖里南山路)长岸路86到144号,2栋,厦门建发集团有限公司,,434户,恒丰花园2,,板楼,https://xm.lianjia.com/xiaoqu/3911057339149/,1996年建成 
"(湖里祥店)湖里区祥岭路与后埔路交叉口西南侧（湖里第二实验小学对面）, 岭南路30-50, 岭南路50号",12栋,厦门兆蓉房地产开发有限公司,,1213户,建发中央天成,,板楼/塔板结合,https://xm.lianjia.com/xiaoqu/3914602305548861/,1999年建成 
"(湖里金山)禾东路1043到1049号, 湖坊东路32号, 湖坊东路34号, 湖坊东路32-101号, 金山西里5号, 金山西里10号, 金山西里10-9-102",8栋,厦门国际建设股份有限公司,,376户,金山花园,,板楼/塔板结合,https://xm.lianjia.com/xiaoqu/3911062097962/,2000年建成 
(湖里万达广场)金钟路,24栋,高建物业,,4621户,高林居住区一里,,塔楼/塔板结合,https://xm.lianjia.com/xiaoqu/3911055513112/,2000年建成 
(湖里湖里大道)华荣路182到188号,2栋,铭爵山庄（厦门）房地产开发有限公司,,632户,铭爵山庄,,塔楼/板楼,https://xm.lianjia.com/xiaoqu/3911057435452/,2001年建成 
(湖里枋湖)梧桐里26到44号,7栋,厦门龙盛投资发展有限公司,,618户,新港龙世家幸福密码,,塔楼/板楼/塔板结合,https://xm.lianjia.com/xiaoqu/3911057454524/,2008年建成 
(湖里江头)吕岭路15号,2栋,厦门市豪利房地产开发有限公司,,286户,豪峰大厦,,塔楼,https://xm.lianjia.com/xiaoqu/3911053704945/,2004年建成 
(湖里金尚)金尚路231-267号,3栋,厦门一元房地产开发有限公司,,348户,一元花园二期,,塔楼/板楼,https://xm.lianjia.com/xiaoqu/3911057439291/,2002年建成 
(湖里五缘湾)五缘湾西二里,1栋,福建省亿力房地产股份有限公司,,208户,亿力悦海,,板楼,https://xm.lianjia.com/xiaoqu/3911057568481/,2009年建成 
"(湖里枋湖)梧桐西里1号, 梧桐西里2号",14栋,厦门建发集团有限公司,,1048户,中央美地,,塔楼/板楼,https://xm.lianjia.com/xiaoqu/3911057456112/,2009年建成 
(湖里大唐世家)火炬二路31-57号,1栋,无开发商,,289户,现代家园,,板楼,https://xm.lianjia.com/xiaoqu/3911058018512/,2003年建成 
(湖里江头)江浦南里17到21号,26栋,厦门市特房筼筜开发有限公司,,1081户,江浦南里,,板楼,https://xm.lianjia.com/xiaoqu/3917565526559725/,1990年建成 
(湖里邮轮城)东渡路69号,1栋,厦门祥泰房地产开发有限公司,,716户,鹭槟大厦,,塔楼/板楼,https://xm.lianjia.com/xiaoqu/3911056370163/,1992年建成 
(湖里金尚)鼓新路54号,6栋,厦门艾特房地产开发有限公司,,722户,温莎公馆,,塔楼,https://xm.lianjia.com/xiaoqu/398754726974374/,2013年建成 
(湖里观音山)下堡路183到199号,7栋,中国铁建股份有限公司,,327户,海曦,,塔楼/板楼,https://xm.lianjia.com/xiaoqu/396874431761826/,2013年建成 
(湖里江头)台湾街,2栋,厦门市嘉益建设有限公司,,177户,亿星大厦,,板楼,https://xm.lianjia.com/xiaoqu/3911053569852/,2002年建成 
(湖里五缘湾)日圆四里1到8号,9栋,厦门建发集团有限公司,,902户,建发中央湾区二期,,板楼,https://xm.lianjia.com/xiaoqu/3911100778340/,2014年建成 
"(湖里枋湖)梧桐西路新景龙郡, 杭湖西路138号",4栋,厦门新景龙郡房地产有限公司,,1004户,新景龙郡,,板楼,https://xm.lianjia.com/xiaoqu/3911100779708/,1990年建成 
(湖里江头)江头北路江顺里67号,8栋,厦门金鹿经济建设发展公司,,776户,国宝新城,,塔楼/板楼/塔板结合,https://xm.lianjia.com/xiaoqu/3911053540195/,2001年建成 
(湖里江头)台湾街288到292号,4栋,厦门华永至合房地产有限公司,,1178户,华永天地,,塔楼/板楼,https://xm.lianjia.com/xiaoqu/3910344476191989/,1995年建成 
(湖里祥店)仙岳路10到74号,9栋,天地房地产开发,,697户,祥店新村(11-40),,塔楼/板楼,https://xm.lianjia.com/xiaoqu/3911058686808/,2003年建成 
(湖里江头)台湾街366号,2栋,厦门市福信房地产开发有限公司,,273户,桃源大厦,,塔楼/板楼,https://xm.lianjia.com/xiaoqu/3911053565238/,2003年建成 
(湖里五缘湾)钟宅五里5号-16号,7栋,厦门市天地开发建设有限公司,,874户,国贸新天地,,板楼,https://xm.lianjia.com/xiaoqu/398331692617851/,2012年建成 
(湖里五缘湾)五缘西一里1到42号,13栋,厦门新景地集团有限公司,,1966户,新景国际外滩,,板楼,https://xm.lianjia.com/xiaoqu/3911057567022/,2009年建成 
"(湖里枋湖)枋湖东四里68到88号, 枋湖东四里68-111号, 枋湖东四里68-69号",8栋,厦门特工房产有限公司,,531户,水晶森林一期,,板楼,https://xm.lianjia.com/xiaoqu/3911057455477/,2008年建成 
(湖里观音山)塔埔西路71到99号,5栋,厦门住宅建设集团有限公司,,806户,水晶国际,,板楼,https://xm.lianjia.com/xiaoqu/396988336214421/,2013年建成 
(湖里枋湖)金湖三里禹州香槟城,7栋,"厦门禹洲集团股份有限公司,",,617户,禹洲香槟城,,塔楼/板楼,https://xm.lianjia.com/xiaoqu/3911055613580/,2007年建成 
(湖里大唐世家)兴隆路582到604号,4栋,无开发商,,221户,大唐世家二期,,板楼,https://xm.lianjia.com/xiaoqu/3911057991245/,1999年建成 
(湖里保税区)昌鸿路3-23号附近,3栋,厦门南湖房地产开发有限公司,,248户,鸿图苑,,板楼,https://xm.lianjia.com/xiaoqu/3911058014365/,1996年建成 
(湖里枋湖)金湖路31号到39号,3栋,厦门恒集房地产有限公司,,274户,东海山庄,,板楼/塔板结合,https://xm.lianjia.com/xiaoqu/3911055541847/,2009年建成 
(湖里SM)禾山路96号,14栋,无开发商,,149户,嘉隆建材城,,板楼,https://xm.lianjia.com/xiaoqu/3911748933644234/,1998年建成 
(湖里湖里大道)嘉园路,12栋,厦门华远建设集团有限公司,,1320户,怡景花园,,板楼,https://xm.lianjia.com/xiaoqu/3911312774261860/,1994年建成 
(湖里机场区)林后北里路115到140号,10栋,厦门冠宇房地产开发有限公司,,332户,翠湖庄园,,塔楼/板楼/塔板结合/平房,https://xm.lianjia.com/xiaoqu/3911057728329/,2005年建成 
(湖里江头)江头西路13到19号,7栋,厦门新景地集团有限公司,,975户,新景园,,塔楼/板楼/塔板结合,https://xm.lianjia.com/xiaoqu/3911053751704/,2002年建成 
(湖里祥店)仙岳路与金尚路交汇处,2栋,无开发商,,64户,金祥花园,,板楼,https://xm.lianjia.com/xiaoqu/3911058686041/,2000年建成 
(湖里五缘湾)五缘南里1-2-3-4-5-6-11号,4栋,厦门国贸房地产有限公司,,468户,国贸天琴湾二期,,板楼/塔板结合,https://xm.lianjia.com/xiaoqu/3911057730622/,2013年建成 
(湖里五缘湾)五缘西三里1到45号,16栋,厦门联发（集团）房地产公司,,1315户,联发五缘湾一号,,板楼,https://xm.lianjia.com/xiaoqu/3911057565932/,2007年建成 
(湖里江头)台湾街363号,1栋,厦门市诚毅地产有限公司,,573户,建邦大厦,,板楼,https://xm.lianjia.com/xiaoqu/3911053551626/,2004年建成 
(湖里东渡)和顺里2到34号,17栋,厦门市万邦实业开发公司,,296户,金海花园,,板楼,https://xm.lianjia.com/xiaoqu/3911057189408/,1997年建成 
(湖里南山路)海天路18号到70号,15栋,厦门市盛华物房地产开发有限公司,,446户,华昌小区,,板楼,https://xm.lianjia.com/xiaoqu/3911057349292/,1991年建成 
(湖里五缘湾)五缘西二里7到32号,15栋,厦门国贸房地产有限公司,,1042户,国贸润园,,板楼,https://xm.lianjia.com/xiaoqu/3911057565205/,2011年建成 
(湖里东渡)金鼎路,13栋,厦门市东区开发有限公司,,567户,金鼎社区,,板楼/塔板结合,https://xm.lianjia.com/xiaoqu/3911056368576/,1984年建成 
(湖里东渡)金鼎巷34号,18栋,无开发商,,509户,金鼎巷,,板楼,https://xm.lianjia.com/xiaoqu/3912286295289147/,1956年建成 
(湖里大唐世家)园山南路697-705、751-759,5栋,厦门龙潭房地产开发有限公司,,360户,龙潭花园,,板楼,https://xm.lianjia.com/xiaoqu/3911053731182/,1997年建成 
(湖里枋湖)枋湖路105号,12栋, 大理耀鹏房地产开发有限责任公司,,423户,枋湖新村,,板楼,https://xm.lianjia.com/xiaoqu/3912852019605760/,1986年建成 
(湖里金尚)金尚路139-177号,5栋,厦门市天地开发建设有限公司,,330户,天宇花园南区,,板楼,https://xm.lianjia.com/xiaoqu/3911057430283/,2000年建成 
(湖里南山路)南山路434-454号,3栋,厦门建发集团有限公司,,307户,泰裕新城二期,,板楼,https://xm.lianjia.com/xiaoqu/3911057351676/,1990年建成 
(湖里大唐世家)园山北里11-12号,6栋,无开发商,,186户,园山雅阁,,塔楼/板楼,https://xm.lianjia.com/xiaoqu/3911058032515/,1996年建成 
(湖里东渡)和宁里63号到79号,6栋,厦门都市乡村房地产开发有限公司,,215户,沧海苑,,板楼/塔板结合,https://xm.lianjia.com/xiaoqu/3911057138089/,1998年建成 
(湖里东渡)东渡路183-185号,3栋,福康经济开发有限公司,,353户,榕海花园,,板楼,https://xm.lianjia.com/xiaoqu/398436631743886/,1991年建成 
(湖里南山路)宜宾路39号,2栋,万科房产,,144户,建德公寓,,板楼/平房,https://xm.lianjia.com/xiaoqu/3920041061200112/,1993年建成 
(湖里金尚)后埔东里12到34号,18栋,厦门鹏源房地产开发有限公司,,695户,太微花园,,塔楼/板楼,https://xm.lianjia.com/xiaoqu/3911057722143/,1998年建成 
(湖里五缘湾)钟宅西里1-8号,8栋,福建紫金房地产开发有限公司,,194户,紫金家园一期,,塔楼/板楼/塔板结合,https://xm.lianjia.com/xiaoqu/3911057759072/,2010年建成 
(湖里湖里大道)兴隆路7号,6栋,厦门联发（集团）房地产公司,,1075户,信达大厦,,塔楼/板楼,https://xm.lianjia.com/xiaoqu/3911057409894/,1998年建成 
"(湖里大唐世家)火炬二路与新丰路交叉口附近, 兴隆路681-709号",3栋,厦门大唐房地产有限公司,,225户,大唐世家七期,,板楼,https://xm.lianjia.com/xiaoqu/3911058011012/,1999年建成 
(湖里SM)乌石浦路180号,19栋,厦门联发（集团）房地产公司,,877户,中港花园,,塔楼/板楼,https://xm.lianjia.com/xiaoqu/3911053771198/,1990年建成 
(湖里湖边水库)湖里厦门市吕岭路与金山路交汇处,4栋,厦门宝龙房地产发展有限公司,,1486户,宝龙一城,,塔楼/塔板结合,https://xm.lianjia.com/xiaoqu/3914600550780281/,2010年建成 
(湖里观音山)下堡路163到177号,4栋,厦门富业天成房地产开发有限公司,,351户,观海澜庭,,板楼/塔板结合,https://xm.lianjia.com/xiaoqu/3911063903491/,2012年建成 
(湖里金山)金山西路171号,9栋,厦门非金属矿进出口有限公司 ,,2094户,金山国际,,塔楼/板楼/塔板结合,https://xm.lianjia.com/xiaoqu/3911055552890/,2000年建成 
"(湖里湖边水库)龙湫二里1号楼, 龙湫二里2号楼, 龙湫二里4号楼, 龙湫二里5号楼",3栋,厦门特房建设工程集团有限公司,,688户,湖边花园B区东区,,塔楼,https://xm.lianjia.com/xiaoqu/3920026472477018/,2008年建成 
(湖里观音山)塔埔西路1到65号,3栋,福建万福恒泰房地产开发有限公司,,260户,万泰东方,,塔板结合,https://xm.lianjia.com/xiaoqu/3911099925890/,2014年建成 
"(湖里湖里大道)悦华路163号, 悦华路179号, 悦华路163-193号",6栋,厦门市万邦实业开发公司,,273户,龙腾花园一期,,板楼,https://xm.lianjia.com/xiaoqu/3911057434535/,1990年建成 
(湖里枋湖)枋湖北三里1到66号,46栋,厦门古龙温泉山庄开发有限公司,,562户,古龙居住公园,,塔楼/板楼,https://xm.lianjia.com/xiaoqu/3911057434069/,2003年建成 
(湖里金尚)金民里60到70号,5栋,厦门一元房地产开发有限公司,,286户,一元花园,,塔楼/板楼,https://xm.lianjia.com/xiaoqu/3911055915710/,1998年建成 
(湖里祥店)后埔北二里150到180号,12栋,厦门联信祥房地产有限公司,,1047户,联发新天地,,塔楼/板楼/塔板结合,https://xm.lianjia.com/xiaoqu/3911058686199/,2005年建成 
(湖里金尚)金尚路371到395号,10栋,惠鸿(厦门)房地产开发有限公司,,235户,惠鸿花园,,板楼,https://xm.lianjia.com/xiaoqu/3911057345733/,1995年建成 
(湖里湖边水库)观日西一里1到8号,3栋,福建世茂置业有限公司,,167户,世茂湖滨首府A区,,板楼/塔板结合,https://xm.lianjia.com/xiaoqu/3911099669837/,2010年建成 
(湖里SM)禾山路565-579,2栋, 重庆汇东房地产开发有限公司,,155户,金山公寓,,板楼,https://xm.lianjia.com/xiaoqu/3913449034215415/,1998年建成 
(湖里江头)吕岭路97-101号,3栋,建发房产,,139户,嘉兴园,,板楼,https://xm.lianjia.com/xiaoqu/3911055038128/,1997年建成 
(湖里湖边水库)仙岳路1962-1964号,3栋,厦门南中投资有限公司,,133户,金山湖景大厦,,板楼,https://xm.lianjia.com/xiaoqu/398436083340255/,1998年建成 
(湖里金尚)金尚路206号,8栋,厦门中铁建设有限公司,,159户,中孚花园,,塔楼/板楼,https://xm.lianjia.com/xiaoqu/3911055919704/,1998年建成 
(湖里保税区)昌宾路8-50号,9栋,厦门市明发,,371户,徐厝社区三航宿舍（昌宾路8—50号）,,塔板结合,https://xm.lianjia.com/xiaoqu/3911057401060/,1980年建成 
(湖里五缘湾)钟宅西里1到15号,2栋,无开发商,,157户,紫金家园二期,,板楼,https://xm.lianjia.com/xiaoqu/3911057758072/,2009年建成 
"(湖里保税区)鸿宾路4号, 鸿宾路18号, 鸿宾路20号, 鸿宾路22号, 鸿宾路24号",2栋,华联厦门房地产开发中心,,106户,金庄花园,,板楼,https://xm.lianjia.com/xiaoqu/3911058015367/,1998年建成 
(湖里南山路)仙洞路21到41号,1栋,厦门经济特区房地产开发集团有限公司,,208户,台北新村,,塔楼,https://xm.lianjia.com/xiaoqu/3911057351404/,1996年建成 
(湖里江头)仙岳路682号,4栋,厦门富璟房地产开发有限公司,,746户,龙门天下,,塔楼/板楼/塔板结合,https://xm.lianjia.com/xiaoqu/3911053560632/,1990年建成 
"(湖里枋湖)金尚路1388号, 金尚路1376-1424号, 金尚路1400号",5栋, 重庆汇东房地产开发有限公司,,46户,鑫湖花园,,板楼,https://xm.lianjia.com/xiaoqu/3911070003491463/,2000年建成 
(湖里机场区)金尚路2453到2509号,16栋,"厦门禹洲集团股份有限公司,",,254户,禹洲高HOUSE,,塔楼/板楼,https://xm.lianjia.com/xiaoqu/399073893585679/,2007年建成 
